04/03/2024 09:08:41,"PORTÃO DO MELAÇO ""05""","-9.678419, -35.724008",,FALSE,,
04/03/2024 09:08:55,MELAÇO,"-9.679365, -35.724606",,FALSE,,
04/03/2024 09:09:27,FIM,"-9.679167, -35.724611",,,,
04/03/2024 09:12:57,INICIO,"-9.678923, -35.723547",,,,
04/03/2024 09:13:24,221,"-9.679015, -35.723540",,,,
04/03/2024 09:13:55,SINÓTICO,"-9.678980, -35.723579",,FALSE,,
04/03/2024 09:14:31,"TORRE ""10""","-9.679276, -35.723194",,TRUE,,
04/03/2024 09:15:31,"TORRE ""03""","-9.679272, -35.723180",,FALSE,,
04/03/2024 09:16:51,"TORRE ""04""","-9.679465, -35.722541",,FALSE,,
04/03/2024 09:17:23,"TORRE ""01""","-9.679319, -35.722392",,FALSE,,
04/03/2024 09:17:57,"TORRE ""05""","-9.678670, -35.721921",,FALSE,,
04/03/2024 09:19:05,C8 / C9,"-9.678755, -35.722202",,FALSE,,
04/03/2024 09:19:47,"TORRE ""02""","-9.678724, -35.721903",,TRUE,,
04/03/2024 09:20:39,"TORRE ""06"" - PORTA DE BAIXO - C11","-9.678541, -35.721877",,FALSE,,
04/03/2024 09:21:32,C10 RECICLAGEM,"-9.677935, -35.722676",,FALSE,,
04/03/2024 09:23:15,"PORTÃO ARMAZÉM ""02","-9.677952, -35.723701",,FALSE,,
04/03/2024 09:30:47,PORTA NOBREAK,"-9.677912, -35.723676",,FALSE,,
04/03/2024 09:31:08,"PORTÃO ARMAZÉM ""01""","-9.678696, -35.723877",,FALSE,,
04/03/2024 09:35:33,CASTELO D'ÁGUA,"-9.678633, -35.723975",,FALSE,,
04/03/2024 09:36:55,MELAÇO,"-9.679312, -35.724485",,FALSE,,
04/03/2024 09:38:47,"PORTÃO DO MELAÇO ""05""","-9.679179, -35.724457",,FALSE,,
04/03/2024 09:39:15,"PORTÃO DO MELAÇO ""06""","-9.678635, -35.724065",,FALSE,,
04/03/2024 09:39:30,"PORTÃO DO MELAÇO ""07""","-9.679423, -35.724599",,FALSE,,
04/03/2024 09:39:43,"PORTÃO DO MELAÇO ""08""","-9.678092, -35.723801",,FALSE,,
04/03/2024 09:40:05,PORTÃO RAMPA,"-9.678734, -35.723702",,FALSE,,
04/03/2024 09:41:23,GARAGEM,"-9.678325, -35.723775",,FALSE,,
04/03/2024 09:41:46,PORTÃO GARAGEM,"-9.678325, -35.723770",,FALSE,,
04/03/2024 09:42:01,OFICINA MECÂNICA,"-9.679980, -35.723480",,FALSE,,
04/03/2024 09:42:18,OFICINA ELÉTRICA,"-9.680000, -35.723423",,FALSE,,
04/03/2024 09:42:44,ALMOXARIFADO,"-9.680024, -35.723394",,FALSE,,
04/03/2024 09:43:07,AMOSTRA,"-9.680088, -35.723125",,TRUE,,
04/03/2024 09:43:52,TR,"-9.680108, -35.723120",,FALSE,,
04/03/2024 09:44:48,"TORRE ""07""","-9.679269, -35.723318",,FALSE,,
04/03/2024 09:45:09,FIM,"-9.678478, -35.723764",,,,
04/03/2024 09:45:26,INICIO,"-9.680555, -35.721703",,,,
04/03/2024 09:47:10,7897,"-9.680156, -35.722401",,,,
04/03/2024 09:47:37,"TORRE ""07""","-9.680100, -35.722202",,FALSE,,
04/03/2024 09:51:23,TR,"-9.678557, -35.723752",,FALSE,,
04/03/2024 09:51:53,AMOSTRA,"-9.680113, -35.722282",,TRUE,,
04/03/2024 09:52:52,ALMOXARIFADO,"-9.680270, -35.723174",,FALSE,,
04/03/2024 09:53:36,OFICINA ELÉTRICA,"-9.680069, -35.723253",,FALSE,,
04/03/2024 09:53:56,OFICINA MECÂNICA,"-9.680155, -35.723313",,FALSE,,
04/03/2024 09:54:17,PORTÃO GARAGEM,"-9.680019, -35.723458",,FALSE,,
04/03/2024 09:54:36,GARAGEM,"-9.680010, -35.723460",,TRUE,,
04/03/2024 09:54:47,PORTÃO RAMPA,"-9.680007, -35.723459",,FALSE,,
04/03/2024 09:55:11,GUARITA COPACABANA,"-9.680952, -35.721503",,TRUE,,
04/03/2024 10:22:43,"PORTÃO DO MELAÇO ""08""","-9.678101, -35.723798",,FALSE,,
04/03/2024 10:31:04,"PORTÃO DO MELAÇO ""07""","-9.678257, -35.724020",,FALSE,,
04/03/2024 10:31:28,"PORTÃO DO MELAÇO ""06""","-9.678271, -35.724012",,FALSE,,
04/03/2024 10:31:39,"PORTÃO DO MELAÇO ""05""","-9.679732, -35.725988",,FALSE,,
04/03/2024 10:31:51,MELAÇO,"-9.679420, -35.725492",,FALSE,,
04/03/2024 10:32:26,CASTELO D'ÁGUA,"-9.678351, -35.724153",,FALSE,,
04/03/2024 10:34:27,"PORTÃO ARMAZÉM ""01""","-9.678237, -35.723850",,FALSE,,
04/03/2024 10:35:00,SINÓTICO,"-9.678746, -35.723559",,TRUE,,Respostas ao formulário 1_Images/03-04-2024 10-35-00.FOTO-.014316.jpg
04/03/2024 10:36:52,"TORRE ""10""","-9.679482, -35.723081",,TRUE,Serviço,Respostas ao formulário 1_Images/03-04-2024 10-36-52.FOTO-.050125.jpg
04/03/2024 10:38:11,"TORRE ""03""","-9.679579, -35.722576",,FALSE,,
04/03/2024 10:39:47,"TORRE ""04""","-9.679621, -35.722428",,FALSE,,
04/03/2024 10:40:07,"TORRE ""01""","-9.679541, -35.722385",,FALSE,,
04/03/2024 10:40:39,"TORRE ""05""","-9.678995, -35.722108",,FALSE,,
04/03/2024 10:41:31,C8 / C9,"-9.678970, -35.722101",,FALSE,,
04/03/2024 10:42:21,"TORRE ""02""","-9.678785, -35.721852",,FALSE,,
04/03/2024 10:44:42,"TORRE ""06"" - PORTA DE BAIXO - C11","-9.678461, -35.721891",,FALSE,,
04/03/2024 10:45:27,C10 RECICLAGEM,"-9.677939, -35.722723",,FALSE,,
04/03/2024 10:46:56,"PORTÃO ARMAZÉM ""02","-9.677947, -35.723698",,FALSE,,
04/03/2024 10:49:48,PORTA NOBREAK,"-9.678063, -35.723643",,FALSE,,
04/03/2024 10:50:08,FIM,"-9.678107, -35.723678",,,,
04/03/2024 10:51:36,INICIO,"-9.677936, -35.723721",,,787,
04/03/2024 16:52:13,7870,"-9.678006, -35.723527",,,Ronda,
04/03/2024 16:51:40,PORTA NOBREAK,"-9.678071, -35.723663",,FALSE,,Respostas ao formulário 1_Images/03-04-2024 16-51-40.FOTO-.050201.jpg
04/03/2024 16:52:33,"PORTÃO ARMAZÉM ""02","-9.678009, -35.723525",,FALSE,,Respostas ao formulário 1_Images/03-04-2024 16-52-33.FOTO-.050240.jpg
04/03/2024 16:52:58,C10 RECICLAGEM,"-9.677997, -35.723447",,FALSE,Sem cadeado,Respostas ao formulário 1_Images/03-04-2024 16-52-58.FOTO-.050312.jpg
04/03/2024 16:55:49,"TORRE ""06"" - PORTA DE BAIXO - C11","-9.678424, -35.721811",,FALSE,,Respostas ao formulário 1_Images/03-04-2024 16-55-49.FOTO-.050323.jpg
04/03/2024 16:58:20,"TORRE ""02""","-9.678046, -35.723467",,FALSE,,Respostas ao formulário 1_Images/03-04-2024 16-58-20.FOTO-.050337.jpg
04/03/2024 16:59:57,"TORRE ""05""","-9.678815, -35.722234",,TRUE,Em operação,Respostas ao formulário 1_Images/03-04-2024 16-59-57.FOTO-.050347.jpg
04/03/2024 17:00:54,C8 / C9,"-9.678078, -35.723466",,FALSE,,Respostas ao formulário 1_Images/03-04-2024 17-00-54.FOTO-.050409.jpg
04/03/2024 17:01:39,"TORRE ""01""","-9.678256, -35.723391",,FALSE,,Respostas ao formulário 1_Images/03-04-2024 17-01-39.FOTO-.050453.jpg
04/03/2024 17:04:42,"TORRE ""04""","-9.679121, -35.722550",,FALSE,,Respostas ao formulário 1_Images/03-04-2024 17-04-42.FOTO-.053603.jpg
04/03/2024 17:05:30,"TORRE ""03""","-9.679025, -35.722674",,TRUE,Em operação,Respostas ao formulário 1_Images/03-04-2024 17-05-30.FOTO-.053613.jpg
04/03/2024 17:06:28,7870,"-9.679417, -35.722642",,FALSE,Portão de acesso ao contêiner,Respostas ao formulário 1_Images/03-04-2024 17-06-28.FOTO-.062154.jpg
04/03/2024 17:07:32,GUARITA COPACABANA,"-9.681019, -35.721467",,TRUE,,Respostas ao formulário 1_Images/03-04-2024 17-07-32.FOTO-.062207.jpg
04/03/2024 17:19:19,"TORRE ""10""","-9.679438, -35.723021",,TRUE,Em reforma,Respostas ao formulário 1_Images/03-04-2024 17-19-19.FOTO-.062231.jpg
04/03/2024 17:23:53,SINÓTICO,"-9.679067, -35.723551",,TRUE,Em serviço,Respostas ao formulário 1_Images/03-04-2024 17-23-53.FOTO-.062244.jpg
04/03/2024 17:26:12,CASTELO D'ÁGUA,"-9.678422, -35.723912",,FALSE,,Respostas ao formulário 1_Images/03-04-2024 17-26-12.FOTO-.062256.jpg
04/03/2024 17:27:02,"PORTÃO ARMAZÉM ""01""","-9.678227, -35.723850",,FALSE,,Respostas ao formulário 1_Images/03-04-2024 17-27-02.FOTO-.062308.jpg
04/03/2024 17:27:36,TR,"-9.679248, -35.723455",,FALSE,,Respostas ao formulário 1_Images/03-04-2024 17-27-36.FOTO-.062318.jpg
